step,rep1,rep2,rep3
0,0.43477920628392464,0.3582281376449515,0.42719853367171995
1,0.32915754194217467,0.4581230508429823,0.4167563323450982
2,0.37812225755386053,0.3248718648595577,0.29320501398875903
3,0.3601255390484518,0.38804200148819734,0.3230082179088968
4,0.3215817975415185,0.2320391132979641,0.39146689612459706
5,0.27277975832169205,0.28143613667123774,0.2919518260629748
6,0.24979155430935235,0.2742074711842347,0.2262315862909041
7,0.388589324506166,0.252548466441917,0.29922386081564034
8,0.23847715173774645,0.204119490215874,0.35898744504498886
9,0.2749788642372406,0.24134941783427227,0.19881186959824926
10,0.3033787281907304,0.1909851611860478,0.20217962359428387
11,0.24937178589744843,0.22782903750935313,0.23136483232703192
12,0.21440386002192222,0.20318346257199216,0.31827073058911926
13,0.1913628576003019,0.1954317387746655,0.23099674877316356
14,0.26296311971156483,0.20512390336386127,0.23747464873202542
15,0.24800706246116427,0.1566861451028506,0.26294585150800787
16,0.24875930565381169,0.20937066385995118,0.13535113994219455
17,0.1404045006323098,0.1326879092319996,0.16108314468164908
18,0.2091598679563536,0.1691778858927053,0.20787548523972077
19,0.07738149079400569,0.13656957102336384,0.09946596512807365
20,0.11227948952404804,0.21845881407039663,0.16605420936824025
21,0.13258642559754666,0.13027286567241705,0.17317490219931245
22,0.19795184929690232,0.16491212357499418,0.07569865742024356
23,0.09304944635547797,0.12163035892820907,0.001
24,0.09061282307038414,0.06998273630679315,0.06038115226171879
25,0.09533012468173316,0.0971921823953911,0.06211413718873766
26,0.1174564512802303,0.16381041489060216,0.1331172315468177
27,0.18844640868918133,0.11563608651784724,0.19745034613348905
28,0.13129943409638434,0.13777086973755825,0.07386474492317424
29,0.07379966829991566,0.08829498420045616,0.139951563821411
30,0.08018148723902215,0.013690450487292671,0.16718836877104704
31,0.07184593180035838,0.001,0.034813437805757824
32,0.07343794161244127,0.09302497454927838,0.004303474462407336
33,0.05381378359538576,0.09744445832612622,0.08385754900041695
34,0.13800865379239857,0.08480814514078276,0.07371800664847072
35,0.08037238538865693,0.05839363686690452,0.0877603905855764
36,0.029619905726694984,0.1284169398631355,0.1614331762857959
37,0.11079697159380658,0.05447035789333383,0.001
38,0.004769240744044875,0.06161405292379032,0.05232412610847728
39,0.07258238010850672,0.010228570379715023,0.12324032505269913
40,0.09457671357138048,0.1273937949924024,0.07204700697092009
41,0.05933584057532103,0.06436530945220299,0.0822159834035327
42,0.03891044010545986,0.06794132686102763,0.09625302394271226
43,0.11572326359163239,0.051094632221183156,0.0622241835396938
44,0.001,0.001,0.06949832490528826
45,0.001,0.04194041206456382,0.013774341545307937
46,0.02599004681758938,0.02254054133943766,0.04354820041708173
47,0.10474756775447229,0.047514229495475076,0.030538639419372564
48,0.03552877739799022,0.001,0.04396094608622916
49,0.006120999997625096,0.08531589291616343,0.045377608143381716
50,0.03835441895853985,0.044485745505732,0.04141592490175074
51,0.043692934451167426,0.023901381525523548,0.09242260940870277
52,0.01939210548411669,0.04602801973636046,0.05982807945563466
53,0.001,0.001,0.023033398697876448
54,0.07821638015267876,0.001,0.0756632257651054
55,0.036976838713532516,0.011958044743467311,0.001
56,0.001,0.060297143811190904,0.001
57,0.015598757554224452,0.0361531119912473,0.028299691197969
58,0.07759198842707957,0.09926773044298512,0.001
59,0.001,0.001,0.05838155130385109
60,0.001,0.032152662900834746,0.11714543049222435
61,0.07382426320318701,0.05820103675833062,0.146608843124531
62,0.024958163611016895,0.02468284995072962,0.001
63,0.10470968454663096,0.0708461518112188,0.04884289626253678
64,0.11024845308188427,0.001,0.0397760011440582
65,0.040651935858676394,0.05739242270607177,0.001
66,0.001,0.001,0.050710298756544765
67,0.001,0.001,0.001
68,0.018007403395754528,0.001,0.001
69,0.00833709710504293,0.022789075865502627,0.001
70,0.002566352654143027,0.016752262407410064,0.04604848215897972
71,0.001,0.05625011281160212,0.003658648677294877
72,0.001,0.001,0.08238859815644528
73,0.001,0.04378091735532833,0.04056512870735217
74,0.001,0.06933926123998778,0.001
75,0.004701792906129009,0.04144332740689565,0.001
76,0.001,0.001,0.001
77,0.001,0.08376510369161141,0.019571762865544098
78,0.1343951662003841,0.048748041347781164,0.001
79,0.07277204990315085,0.001,0.05734480022700242
80,0.013778936466548283,0.001,0.021578780546924307
81,0.023855837294999942,0.001,0.001
82,0.001,0.001,0.058092860369665184
83,0.001,0.001,0.001
84,0.0408760530103087,0.001,0.001
85,0.001,0.04452566427630136,0.023539299338973675
86,0.026123079679535782,0.001,0.001
87,0.001,0.003418644249371952,0.0453017450821565
88,0.08666689244877891,0.07873697826096691,0.001
89,0.03119264071870264,0.11525744053319475,0.001
90,0.07239195928422273,0.10341381695298729,0.001
91,0.022642764960317203,0.042090831601142076,0.001
92,0.001,0.001,0.01824534718912459
93,0.04322624562662815,0.001,0.001
94,0.0021794290504830545,0.025849868519446248,0.001
95,0.0536765733819141,0.05789268942425055,0.001
96,0.001,0.06386583273585372,0.049323592759202665
97,0.023952567057470626,0.016110823564027505,0.001
98,0.001,0.0258091457210945,0.001
99,0.001,0.001,0.005617426248171578
